Date,Price,Income/Expense,Category
2020-03-15,3722.31,Expense,Salaries
2020-03-15,1802.65,Expense,Travel
2020-03-15,8543.97,Income,Service Revenue
2020-03-15,4531.97,Expense,Travel
2020-03-16,3482.03,Expense,Rent
2020-03-18,1061.11,Expense,Marketing
2020-03-18,3209.03,Income,Investment Return
2020-03-18,1828.44,Income,Investment Return
2020-03-19,327.14,Expense,Rent
2020-03-19,7448.76,Income,Service Revenue
2020-03-20,3130.83,Expense,Rent
2020-03-21,4621.88,Expense,Rent
2020-03-22,30.34,Expense,Utilities
2020-03-22,2963.51,Income,Grants
2020-03-23,1394.23,Expense,Travel
2020-03-23,4185.38,Expense,Marketing
2020-03-24,3022.41,Expense,Salaries
2020-03-25,3225.72,Expense,Utilities
2020-03-26,4168.03,Expense,Marketing
2020-03-26,3854.71,Expense,Utilities
2020-03-27,199.1,Income,Product Sales
2020-03-27,1625.18,Expense,Marketing
2020-03-27,2865.46,Income,Grants
2020-03-27,6322.17,Income,Service Revenue
2020-03-28,3089.81,Expense,Office Supplies
2020-03-28,2375.49,Expense,Office Supplies
2020-03-29,638.05,Expense,Rent
2020-03-30,4046.56,Income,Investment Return
2020-03-30,1469.18,Expense,Travel
2020-03-30,7555.88,Income,Investment Return
2020-03-30,6018.62,Income,Service Revenue
2020-03-30,2927.92,Expense,Rent
2020-03-31,2403.95,Expense,Travel
2020-04-01,1609.23,Expense,Marketing
2020-04-01,4590.51,Expense,Travel
2020-04-01,3185.45,Expense,Rent
2020-04-01,4516.88,Income,Grants
2020-04-01,2605.65,Expense,Rent
2020-04-02,2596.12,Expense,Travel
2020-04-02,2428.2,Expense,Marketing
2020-04-03,1632.18,Expense,Rent
2020-04-04,3801.37,Expense,Marketing
2020-04-04,2238.36,Expense,Marketing
2020-04-04,5855.08,Income,Product Sales
2020-04-04,1230.95,Income,Grants
2020-04-05,565.23,Income,Service Revenue
2020-04-05,8847.29,Income,Product Sales
2020-04-05,4663.79,Expense,Office Supplies
2020-04-07,3108.8,Expense,Utilities
2020-04-07,331.15,Expense,Office Supplies
2020-04-07,3186.84,Expense,Office Supplies
2020-04-08,2087.32,Expense,Utilities
2020-04-08,9089.35,Income,Service Revenue
2020-04-08,6364.75,Income,Product Sales
2020-04-09,6871.35,Income,Investment Return
2020-04-10,1859.57,Expense,Rent
2020-04-10,4587.04,Expense,Office Supplies
2020-04-11,4990.39,Income,Investment Return
2020-04-11,5518.32,Income,Grants
2020-04-11,8921.11,Income,Investment Return
2020-04-12,7088.97,Income,Grants
2020-04-13,1940.06,Expense,Office Supplies
2020-04-13,6224.24,Income,Service Revenue
2020-04-14,305.5,Income,Product Sales
2020-04-14,1042.96,Income,Grants
2020-04-15,4560.4,Expense,Rent
2020-04-15,4071.36,Income,Product Sales
2020-04-16,2478.17,Income,Product Sales
2020-04-17,2274.72,Expense,Travel
2020-04-17,4656.37,Expense,Utilities
2020-04-18,4514.96,Income,Product Sales
2020-04-18,429.35,Income,Investment Return
2020-04-20,1949.58,Expense,Rent
2020-04-20,4833.46,Expense,Salaries
2020-04-20,9336.27,Income,Service Revenue
2020-04-20,119.72,Expense,Marketing
2020-04-21,1114.71,Income,Service Revenue
2020-04-22,5061.51,Income,Grants
2020-04-22,6179.92,Income,Grants
2020-04-22,1744.14,Income,Investment Return
2020-04-22,8695.21,Income,Grants
2020-04-23,621.32,Expense,Travel
2020-04-23,614.86,Expense,Rent
2020-04-23,1734.65,Expense,Rent
2020-04-24,8610.83,Income,Service Revenue
2020-04-24,475.61,Expense,Utilities
2020-04-25,3166.76,Expense,Rent
2020-04-25,1910.64,Income,Product Sales
2020-04-26,1598.57,Income,Product Sales
2020-04-26,1117.19,Expense,Salaries
2020-04-26,3315.82,Expense,Salaries
2020-04-27,709.07,Expense,Office Supplies
2020-04-27,3280.53,Expense,Travel
2020-04-28,3223.98,Income,Investment Return
2020-04-28,2469.39,Income,Grants
2020-04-29,928.88,Income,Investment Return
2020-05-01,3642.71,Expense,Office Supplies
2020-05-01,800.84,Income,Service Revenue
2020-05-01,4860.96,Expense,Travel
2020-05-01,9859.47,Income,Investment Return
2020-05-02,1669.11,Expense,Office Supplies
2020-05-03,3422.97,Expense,Marketing
2020-05-03,370.62,Expense,Marketing
2020-05-03,4245.44,Expense,Travel
2020-05-05,495.88,Expense,Salaries
2020-05-05,3295.67,Expense,Rent
2020-05-05,4929.13,Expense,Travel
2020-05-06,4345.41,Expense,Rent
2020-05-07,3176.08,Income,Investment Return
2020-05-07,573.53,Expense,Utilities
2020-05-07,3635.79,Expense,Salaries
2020-05-07,6456.66,Income,Product Sales
2020-05-08,7773.31,Income,Service Revenue
2020-05-08,2080.26,Expense,Marketing
2020-05-08,3369.77,Expense,Travel
2020-05-09,4106.31,Expense,Marketing
2020-05-09,2444.81,Income,Investment Return
2020-05-09,4231.42,Expense,Utilities
2020-05-09,2101.06,Expense,Travel
2020-05-10,307.55,Expense,Marketing
2020-05-10,4029.78,Income,Product Sales
2020-05-10,666.64,Income,Product Sales
2020-05-11,3564.65,Expense,Travel
2020-05-11,834.81,Expense,Office Supplies
2020-05-12,8532.72,Income,Grants
2020-05-12,4105.21,Expense,Rent
2020-05-12,167.72,Income,Investment Return
2020-05-13,3751.91,Expense,Travel
2020-05-13,4516.28,Expense,Office Supplies
2020-05-14,774.28,Income,Product Sales
2020-05-15,4180.99,Expense,Rent
2020-05-16,6140.94,Income,Service Revenue
2020-05-16,5461.81,Income,Grants
2020-05-17,9270.45,Income,Service Revenue
2020-05-17,30.88,Expense,Utilities
2020-05-17,6358.01,Income,Product Sales
2020-05-18,439.64,Expense,Travel
2020-05-19,1642.61,Expense,Office Supplies
2020-05-20,6205.46,Income,Investment Return
2020-05-20,365.15,Expense,Travel
2020-05-20,4675.77,Expense,Travel
2020-05-21,7993.63,Income,Investment Return
2020-05-22,2051.29,Expense,Travel
2020-05-22,5864.15,Income,Investment Return
2020-05-22,4350.69,Expense,Travel
2020-05-22,9634.63,Income,Service Revenue
2020-05-23,5543.66,Income,Product Sales
2020-05-23,3656.61,Expense,Marketing
2020-05-23,4977.46,Expense,Utilities
2020-05-24,3458.28,Income,Product Sales
2020-05-24,3645.5,Expense,Salaries
2020-05-25,7209.86,Income,Investment Return
2020-05-25,9938.46,Income,Product Sales
2020-05-25,3162.96,Expense,Salaries
2020-05-26,2946.73,Expense,Travel
2020-05-26,1472.63,Expense,Marketing
2020-05-27,5126.75,Income,Investment Return
2020-05-27,3792.7,Income,Investment Return
2020-05-28,3335.84,Expense,Salaries
2020-05-28,4099.79,Expense,Salaries
2020-05-28,6955.89,Income,Investment Return
2020-05-28,421.74,Expense,Marketing
2020-05-28,2622.01,Income,Investment Return
2020-05-28,7337.0,Income,Service Revenue
2020-05-29,3394.53,Income,Grants
2020-05-30,3442.73,Expense,Office Supplies
2020-05-30,250.06,Expense,Travel
2020-05-30,1227.87,Expense,Utilities
2020-05-31,4559.93,Expense,Marketing
2020-05-31,4452.89,Expense,Office Supplies
2020-05-31,2352.14,Expense,Rent
2020-06-01,3849.22,Expense,Travel
2020-06-02,167.47,Income,Investment Return
2020-06-02,3055.34,Expense,Utilities
2020-06-02,7039.26,Income,Service Revenue
2020-06-03,2748.52,Income,Service Revenue
2020-06-03,3066.0,Expense,Salaries
2020-06-04,8189.36,Income,Grants
2020-06-04,6730.57,Income,Investment Return
2020-06-05,4848.06,Expense,Rent
2020-06-05,3628.99,Expense,Office Supplies
2020-06-06,3476.21,Expense,Office Supplies
2020-06-07,1944.11,Expense,Rent
2020-06-07,1126.97,Expense,Salaries
2020-06-07,2978.8,Expense,Rent
2020-06-08,1232.98,Expense,Travel
2020-06-08,204.82,Expense,Utilities
2020-06-08,5249.93,Income,Investment Return
2020-06-08,3442.21,Expense,Office Supplies
2020-06-09,920.76,Expense,Travel
2020-06-09,1362.94,Income,Investment Return
2020-06-09,3883.84,Expense,Office Supplies
2020-06-10,4938.99,Expense,Travel
2020-06-10,2154.65,Expense,Rent
2020-06-10,1202.68,Expense,Salaries
2020-06-11,2213.06,Expense,Salaries
2020-06-12,3022.17,Expense,Travel
2020-06-12,4268.82,Expense,Utilities
2020-06-13,1361.7,Expense,Marketing
2020-06-13,3151.79,Expense,Utilities
2020-06-13,1133.59,Expense,Salaries
2020-06-14,715.67,Expense,Marketing
2020-06-14,2262.41,Expense,Travel
2020-06-15,2862.39,Expense,Salaries
2020-06-15,5968.43,Income,Service Revenue
2020-06-16,3261.15,Expense,Salaries
2020-06-17,3841.05,Expense,Office Supplies
2020-06-18,6768.11,Income,Grants
2020-06-18,1284.84,Expense,Travel
2020-06-20,613.15,Expense,Travel
2020-06-20,271.53,Expense,Salaries
2020-06-21,4189.07,Expense,Rent
2020-06-21,3756.3,Expense,Utilities
2020-06-21,9373.57,Income,Grants
2020-06-21,2778.04,Expense,Travel
2020-06-25,3376.61,Expense,Utilities
2020-06-25,975.94,Expense,Travel
2020-06-25,1525.63,Income,Product Sales
2020-06-25,1761.98,Expense,Office Supplies
2020-06-29,660.41,Expense,Office Supplies
2020-06-30,6439.77,Income,Investment Return
2020-07-01,255.18,Expense,Rent
2020-07-01,4129.74,Expense,Utilities
2020-07-01,536.71,Expense,Office Supplies
2020-07-01,1581.12,Expense,Salaries
2020-07-02,3103.46,Expense,Utilities
2020-07-04,4396.16,Expense,Utilities
2020-07-05,591.47,Expense,Rent
2020-07-05,1690.27,Income,Product Sales
2020-07-05,5263.35,Income,Grants
2020-07-06,663.53,Expense,Utilities
2020-07-06,3250.7,Expense,Utilities
2020-07-06,3487.65,Income,Investment Return
2020-07-06,84.28,Expense,Rent
2020-07-08,2497.53,Income,Service Revenue
2020-07-08,2227.67,Income,Service Revenue
2020-07-08,7910.56,Income,Investment Return
2020-07-08,858.56,Income,Service Revenue
2020-07-08,4115.25,Expense,Travel
2020-07-09,4313.81,Expense,Office Supplies
2020-07-09,7172.7,Income,Product Sales
2020-07-10,483.69,Income,Product Sales
2020-07-10,371.96,Income,Product Sales
2020-07-10,1553.21,Expense,Office Supplies
2020-07-12,2921.02,Expense,Rent
2020-07-12,3510.31,Expense,Utilities
2020-07-12,2027.1,Expense,Salaries
2020-07-14,267.31,Expense,Rent
2020-07-14,3745.57,Expense,Marketing
2020-07-16,4530.25,Income,Product Sales
2020-07-16,9886.55,Income,Investment Return
2020-07-16,2380.9,Expense,Utilities
2020-07-16,4282.89,Expense,Office Supplies
2020-07-16,4366.78,Income,Service Revenue
2020-07-17,3844.02,Expense,Marketing
2020-07-17,4431.89,Expense,Marketing
2020-07-18,3655.02,Expense,Office Supplies
2020-07-19,2259.93,Income,Investment Return
2020-07-19,1208.15,Income,Grants
2020-07-20,338.12,Expense,Salaries
2020-07-20,1641.91,Expense,Salaries
2020-07-20,4890.11,Income,Investment Return
2020-07-21,72.55,Expense,Marketing
2020-07-21,4576.8,Income,Service Revenue
2020-07-21,295.97,Expense,Office Supplies
2020-07-23,4839.36,Expense,Utilities
2020-07-23,4801.89,Expense,Travel
2020-07-24,3925.67,Expense,Salaries
2020-07-24,7934.96,Income,Product Sales
2020-07-25,1515.31,Income,Grants
2020-07-26,127.79,Expense,Marketing
2020-07-26,4914.64,Expense,Office Supplies
2020-07-26,3440.97,Expense,Travel
2020-07-26,922.5,Expense,Salaries
2020-07-27,3366.82,Expense,Travel
2020-07-28,5041.95,Income,Product Sales
2020-07-29,490.1,Expense,Office Supplies
2020-07-31,9184.25,Income,Product Sales
2020-07-31,2649.78,Expense,Travel
2020-08-01,3689.4,Expense,Marketing
2020-08-01,1203.73,Income,Product Sales
2020-08-02,4484.01,Income,Grants
2020-08-03,1421.13,Expense,Travel
2020-08-03,930.67,Expense,Utilities
2020-08-03,2854.85,Income,Service Revenue
2020-08-03,1973.49,Expense,Travel
2020-08-04,3484.29,Income,Investment Return
2020-08-04,3534.06,Expense,Travel
2020-08-04,4231.35,Expense,Salaries
2020-08-04,4492.77,Expense,Utilities
2020-08-04,9273.99,Income,Grants
2020-08-05,1978.44,Expense,Office Supplies
2020-08-05,3824.01,Expense,Travel
2020-08-05,353.14,Income,Service Revenue
2020-08-07,3649.36,Expense,Marketing
2020-08-10,2715.99,Expense,Rent
2020-08-11,1806.13,Expense,Rent
2020-08-11,1586.85,Expense,Salaries
2020-08-12,1170.73,Income,Investment Return
2020-08-12,7235.18,Income,Grants
2020-08-13,235.71,Expense,Utilities
2020-08-13,3561.58,Expense,Travel
2020-08-13,712.07,Expense,Travel
2020-08-14,1827.07,Expense,Utilities
2020-08-15,914.41,Expense,Office Supplies
2020-08-15,331.28,Expense,Salaries
2020-08-16,3340.32,Expense,Marketing
2020-08-17,784.62,Income,Service Revenue
2020-08-18,330.97,Expense,Salaries
2020-08-18,2216.93,Expense,Travel
2020-08-18,959.15,Income,Grants
2020-08-18,2022.21,Income,Service Revenue
2020-08-19,2108.44,Income,Service Revenue
2020-08-19,1190.41,Income,Service Revenue
2020-08-20,5500.35,Income,Investment Return
2020-08-20,3729.23,Expense,Travel
2020-08-21,9647.88,Income,Investment Return
2020-08-22,2942.93,Income,Service Revenue
2020-08-22,2267.31,Expense,Rent
2020-08-23,2019.46,Expense,Rent
2020-08-23,1545.21,Expense,Salaries
2020-08-23,953.89,Expense,Travel
2020-08-24,3574.26,Expense,Utilities
2020-08-24,7201.89,Income,Service Revenue
2020-08-25,3678.72,Income,Grants
2020-08-25,2511.45,Expense,Salaries
2020-08-26,5747.05,Income,Investment Return
2020-08-29,8712.38,Income,Grants
2020-08-29,6831.72,Income,Investment Return
2020-08-29,2299.56,Expense,Rent
2020-08-29,2100.6,Income,Grants
2020-08-29,1546.08,Expense,Office Supplies
2020-08-29,3162.63,Expense,Rent
2020-08-30,2687.46,Expense,Travel
2020-08-31,7542.53,Income,Grants
2020-08-31,7669.23,Income,Grants
2020-09-01,5177.34,Income,Investment Return
2020-09-02,192.56,Expense,Utilities
2020-09-02,3341.47,Income,Product Sales
2020-09-03,3368.5,Expense,Marketing
2020-09-03,2003.44,Expense,Marketing
2020-09-05,4065.38,Expense,Utilities
2020-09-05,3173.65,Expense,Marketing
2020-09-06,2023.31,Income,Investment Return
2020-09-06,2080.39,Expense,Office Supplies
2020-09-06,3133.58,Expense,Utilities
2020-09-07,1703.15,Expense,Utilities
2020-09-07,2214.88,Expense,Marketing
2020-09-09,1821.0,Expense,Salaries
2020-09-09,1258.13,Income,Service Revenue
2020-09-09,1200.97,Income,Service Revenue
2020-09-10,9167.76,Income,Investment Return
2020-09-10,5728.67,Income,Service Revenue
2020-09-10,4056.13,Expense,Utilities
2020-09-10,3896.57,Expense,Rent
2020-09-12,475.3,Expense,Rent
2020-09-12,325.9,Expense,Utilities
2020-09-14,632.35,Income,Service Revenue
2020-09-15,3212.3,Expense,Salaries
2020-09-15,3408.31,Expense,Marketing
2020-09-17,3455.55,Income,Service Revenue
2020-09-17,3949.33,Expense,Office Supplies
2020-09-17,2261.2,Income,Product Sales
2020-09-17,1151.83,Income,Investment Return
2020-09-18,1498.54,Expense,Rent
2020-09-19,511.44,Income,Service Revenue
2020-09-19,9620.0,Income,Investment Return
2020-09-19,2451.84,Income,Grants
2020-09-20,3199.67,Expense,Utilities
2020-09-21,6333.32,Income,Investment Return
2020-09-22,8737.95,Income,Grants
2020-09-22,1459.9,Expense,Marketing
2020-09-24,894.85,Expense,Utilities
2020-09-24,6667.29,Income,Service Revenue
2020-09-25,3408.79,Expense,Office Supplies
2020-09-26,5532.92,Income,Product Sales
2020-09-26,720.15,Expense,Marketing
2020-09-26,1103.66,Income,Investment Return
2020-09-26,3024.6,Expense,Travel
2020-09-28,3540.64,Expense,Travel
2020-09-29,440.17,Expense,Marketing
2020-09-29,4050.66,Expense,Utilities
2020-09-30,3341.34,Expense,Rent
2020-10-01,4775.26,Income,Grants
2020-10-02,3409.19,Expense,Travel
2020-10-03,1914.8,Expense,Salaries
2020-10-03,5041.18,Income,Investment Return
2020-10-03,1887.13,Income,Product Sales
2020-10-04,2320.96,Expense,Travel
2020-10-04,1522.96,Expense,Utilities
2020-10-05,2354.57,Expense,Utilities
2020-10-06,1003.96,Income,Service Revenue
2020-10-06,2906.5,Expense,Marketing
2020-10-07,4777.9,Income,Product Sales
2020-10-08,2257.39,Expense,Marketing
2020-10-09,8839.95,Income,Investment Return
2020-10-10,1666.19,Expense,Utilities
2020-10-11,3419.61,Expense,Salaries
2020-10-11,4196.27,Expense,Salaries
2020-10-11,7220.42,Income,Service Revenue
2020-10-11,4995.27,Expense,Travel
2020-10-12,1630.75,Expense,Utilities
2020-10-12,3247.26,Income,Product Sales
2020-10-13,4825.34,Expense,Salaries
2020-10-13,6926.87,Income,Investment Return
2020-10-13,1804.76,Income,Product Sales
2020-10-14,4752.53,Expense,Rent
2020-10-14,2761.68,Income,Investment Return
2020-10-15,4180.16,Expense,Rent
2020-10-15,505.25,Income,Service Revenue
2020-10-15,4773.03,Expense,Salaries
2020-10-17,3963.93,Income,Grants
2020-10-17,297.53,Expense,Rent
2020-10-19,2583.63,Expense,Travel
2020-10-19,639.62,Expense,Marketing
2020-10-20,3271.81,Expense,Marketing
2020-10-21,3616.64,Expense,Office Supplies
2020-10-21,4632.27,Income,Service Revenue
2020-10-22,7239.21,Income,Grants
2020-10-22,4933.7,Expense,Office Supplies
2020-10-22,4978.28,Expense,Office Supplies
2020-10-24,2255.48,Income,Investment Return
2020-10-27,274.93,Income,Grants
2020-10-28,3651.47,Expense,Travel
2020-10-28,4720.01,Expense,Marketing
2020-10-28,541.29,Expense,Utilities
2020-10-28,5137.96,Income,Product Sales
2020-10-28,3517.98,Expense,Salaries
2020-10-29,327.58,Expense,Office Supplies
2020-10-29,4453.38,Expense,Office Supplies
2020-10-29,2330.72,Expense,Marketing
2020-10-30,9594.93,Income,Product Sales
2020-10-31,8585.26,Income,Grants
2020-10-31,4297.48,Expense,Salaries
2020-10-31,2942.01,Expense,Marketing
2020-10-31,3319.59,Expense,Marketing
2020-11-01,3035.72,Income,Grants
2020-11-02,3069.39,Income,Investment Return
2020-11-03,991.08,Expense,Salaries
2020-11-03,4564.77,Expense,Salaries
2020-11-04,3370.7,Expense,Office Supplies
2020-11-06,2010.3,Expense,Salaries
2020-11-06,181.3,Expense,Utilities
2020-11-06,1318.16,Expense,Salaries
2020-11-06,3158.27,Expense,Rent
2020-11-07,4770.61,Expense,Office Supplies
2020-11-07,6225.6,Income,Grants
2020-11-08,9975.43,Income,Grants
2020-11-08,1146.86,Expense,Rent
2020-11-08,3242.15,Income,Service Revenue
2020-11-09,4439.46,Expense,Marketing
2020-11-09,5618.31,Income,Service Revenue
2020-11-09,4963.28,Expense,Rent
2020-11-10,2990.24,Expense,Salaries
2020-11-11,4396.27,Expense,Salaries
2020-11-12,641.85,Expense,Salaries
2020-11-13,2272.79,Expense,Travel
2020-11-13,3698.94,Expense,Utilities
2020-11-13,1353.61,Expense,Marketing
2020-11-13,4597.36,Income,Investment Return
2020-11-13,926.67,Expense,Rent
2020-11-15,4260.0,Expense,Marketing
2020-11-16,3867.9,Expense,Rent
2020-11-16,1066.76,Expense,Office Supplies
2020-11-16,2600.02,Expense,Marketing
2020-11-19,3582.03,Income,Product Sales
2020-11-19,2914.45,Expense,Marketing
2020-11-19,3755.76,Expense,Marketing
2020-11-21,2588.07,Expense,Rent
2020-11-22,3096.98,Expense,Travel
2020-11-22,2262.38,Expense,Travel
2020-11-23,56.81,Expense,Travel
2020-11-23,1565.33,Expense,Rent
2020-11-23,1400.18,Expense,Utilities
2020-11-24,3745.12,Expense,Office Supplies
2020-11-24,4776.21,Expense,Utilities
2020-11-24,1562.15,Expense,Marketing
2020-11-25,2946.38,Expense,Rent
2020-11-25,2456.35,Expense,Rent
2020-11-26,3077.62,Expense,Office Supplies
2020-11-29,4095.17,Expense,Office Supplies
2020-11-29,2724.3,Income,Product Sales
2020-11-29,1104.39,Expense,Utilities
2020-11-30,6829.08,Income,Product Sales
2020-11-30,648.91,Income,Product Sales
2020-11-30,834.5,Expense,Travel
2020-12-01,402.08,Expense,Office Supplies
2020-12-01,1177.37,Expense,Travel
2020-12-01,1654.24,Expense,Rent
2020-12-01,4392.33,Expense,Office Supplies
2020-12-01,974.52,Expense,Rent
2020-12-02,901.44,Income,Service Revenue
2020-12-03,1929.27,Expense,Marketing
2020-12-03,6314.68,Income,Service Revenue
2020-12-03,3656.26,Expense,Office Supplies
2020-12-03,4477.43,Expense,Utilities
2020-12-03,530.6,Expense,Marketing
2020-12-04,6641.91,Income,Product Sales
2020-12-04,2248.81,Expense,Salaries
2020-12-05,4630.62,Expense,Utilities
2020-12-06,1048.54,Expense,Office Supplies
2020-12-06,2747.41,Income,Service Revenue
2020-12-07,1570.68,Expense,Office Supplies
2020-12-07,4589.37,Expense,Marketing
2020-12-07,2169.47,Income,Investment Return
2020-12-07,2249.32,Income,Investment Return
2020-12-08,289.08,Income,Grants
2020-12-09,2086.5,Expense,Travel
2020-12-10,7839.12,Income,Product Sales
2020-12-10,911.91,Income,Investment Return
2020-12-11,2746.64,Expense,Salaries
2020-12-11,2728.99,Expense,Utilities
2020-12-11,4949.72,Income,Grants
2020-12-12,204.46,Income,Investment Return
2020-12-13,4094.36,Expense,Salaries
2020-12-13,1552.36,Expense,Marketing
2020-12-14,2950.06,Expense,Utilities
2020-12-14,2172.51,Expense,Salaries
2020-12-15,8702.7,Income,Product Sales
